day,wind_spread,wind_mean,t2m_spread,n_valid_times,lear_mae
2023-09-02 00:00:00+00:00,0.136,2.2263,0.1774,8,11.0229
2023-09-03 00:00:00+00:00,0.1135,2.9463,0.2056,8,6.9211
2023-09-04 00:00:00+00:00,0.0994,2.8458,0.29,8,14.6138
2023-09-05 00:00:00+00:00,0.119,2.5953,0.2805,8,11.9982
2023-09-06 00:00:00+00:00,0.1221,2.5813,0.2618,8,12.0894
2023-09-07 00:00:00+00:00,0.1274,3.2375,0.2363,8,8.3847
2023-09-08 00:00:00+00:00,0.1071,2.5572,0.2624,8,9.2165
2023-09-09 00:00:00+00:00,0.076,1.8619,0.2723,8,10.8349
2023-09-10 00:00:00+00:00,0.0848,1.5254,0.2386,8,10.7321
2023-09-11 00:00:00+00:00,0.1035,1.9375,0.2397,8,38.6619
2023-09-12 00:00:00+00:00,0.1789,2.0459,0.1864,8,13.8895
2023-09-13 00:00:00+00:00,0.2281,3.6305,0.2657,8,25.3988
2023-09-14 00:00:00+00:00,0.1709,2.3483,0.3603,8,11.9465
2023-09-15 00:00:00+00:00,0.1598,2.8307,0.2869,8,7.8746
2023-09-16 00:00:00+00:00,0.1385,2.6065,0.2505,8,5.883
2023-09-17 00:00:00+00:00,0.1844,2.7303,0.213,8,9.2603
2023-09-18 00:00:00+00:00,0.2391,4.5505,0.1995,8,14.6694
2023-09-19 00:00:00+00:00,0.3005,6.4216,0.3655,8,20.5123
2023-09-20 00:00:00+00:00,0.2919,5.2951,0.2665,8,13.9393
2023-09-21 00:00:00+00:00,0.3053,4.181,0.2865,8,17.6001
2023-09-22 00:00:00+00:00,0.4637,4.0742,0.3993,8,7.2978
2023-09-23 00:00:00+00:00,0.2096,3.9839,0.24,8,9.8643
2023-09-24 00:00:00+00:00,0.1254,3.3717,0.2786,8,15.5183
2023-09-25 00:00:00+00:00,0.131,3.5507,0.2789,8,32.6327
2023-09-26 00:00:00+00:00,0.1786,2.5641,0.1893,8,13.4549
2023-09-27 00:00:00+00:00,0.1537,2.2627,0.2025,8,8.7847
2023-09-28 00:00:00+00:00,0.1988,3.2639,0.2291,8,15.4975
